ชื่อหน่วยงาน,จังหวัด,อำเภอ,ตำบล
โรงพยาบาลส่งเสริมสุขภาพตำบลแม่แจ๊ะ,จ.แม่ฮ่องสอน,อ.ขุนยวม, ต.แม่ยวมน้อย
โรงพยาบาลส่งเสริมสุขภาพตำบลแม่ต๊อบเหนือ,จ.แม่ฮ่องสอน,อ.แม่สะเรียง, ต.บ้านกาศ
โรงพยาบาลส่งเสริมสุขภาพตำบลโพซอ,จ.แม่ฮ่องสอน,อ.แม่สะเรียง, ต.เสาหิน
โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านห้วยนา,จ.แม่ฮ่องสอน,อ.ขุนยวม, ต.แม่เงา
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยหมากลาง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน, ต.ห้วยโป่ง
โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแม่ริดป่าแก่ ,จ.แม่ฮ่องสอน,อ.แม่สะเรียง, ต.แม่เหาะ
โรงพยาบาลส่งเสริมสุขภาพตำบลแม่ปิง,จ.แม่ฮ่องสอน,อ.ปาย, ต.แม่ฮี้
โรงพยาบาลส่งเสริมสุขภาพตำบลแม่ฮี้,จ.แม่ฮ่องสอน,อ.ปาย, ต.แม่ฮี้
โรงพยาบาลส่งเสริมสุขภาพตำบลนาป่าแปก,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน, ต.หมอกจำแป่
โรงพยาบาลส่งเสริมสุขภาพตำบลรักไทย,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน, ต.หมอกจำแป่
โรงพยาบาลส่งเสริมสุขภาพตำบลนาปลาจาด,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน, ต.ห้วยผา
โรงพยาบาลส่งเสริมสุขภาพตำบลแม่ของ,จ.แม่ฮ่องสอน,อ.ปาย, ต.แม่นาเติง
โรงพยาบาลส่งเสริมสุขภาพตำบลแพมบก,จ.แม่ฮ่องสอน,อ.ปาย, ต.ทุ่งยาว
โรงพยาบาลแม่ลาน้อย,จ.แม่ฮ่องสอน,อ.แม่ลาน้อย, ต.ขุนแม่ลาน้อย
สถานบริการสาธารณสุขชุมชนบ้านหนองเขียว ,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน, ต.หมอกจำแป่
สถานบริการสาธารณสุขชุมชนบ้านห้วยตอง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน, ต.ห้วยปูลิง
สถานบริการสาธารณสุขชุมชนบ้านบ้านไทรงาม,จ.แม่ฮ่องสอน,อ.ปาย, ต.แม่นาเติง
สถานบริการสาธารณสุขชุมชนบ้านแอโก๋,จ.แม่ฮ่องสอน,อ.ปางมะผ้า, ต.ถ้ำลอด
โรงพยาบาลธัญญารักษ์แม่ฮ่องสอน,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน, ต.ปางหมู
สถานพยาบาลเรือนจำอำเภอแม่สะเรียง,จ.แม่ฮ่องสอน,อ.แม่สะเรียง, ต.แม่สะเรียง
สถานบริการสาธารรสุขชุมชนบ้านปุงยาม,จ.แม่ฮ่องสอน,อ.ปางมะผ้า, ต.นาปู่ป้อม
สถานบริการสาธารณสุขบ้านห้วยกองมูล,จ.แม่ฮ่องสอน,อ.สบเมย, ต.สบเมย
สถานบริการสาธารณสุขชุมชนบ้านห้วยหมูใต้,จ.แม่ฮ่องสอน,อ.สบเมย, ต.ป่าโปง
โรงพยาบาลส่งเสริมสุขภาพตำบลไม้ฮุง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน, ต.ห้วยโป่ง
โรงพยาบาลส่งเสริมสุขภาพตำบลอุ้มโล๊ะ,จ.แม่ฮ่องสอน,อ.สบเมย, ต.แม่สวด
โรงพยาบาลส่งเสริมสุขภาพตำบลกองก๋อย,จ.แม่ฮ่องสอน,อ.สบเมย, ต.กองก๋อย
สำนักงานสาธารณสุขจังหวัดแม่ฮ่องสอน,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน, ต.จองคำ
สำนักงานสาธารณสุขอำเภอเมืองแม่ฮ่องสอน,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน, ต.ปางหมู
สำนักงานสาธารณสุขอำเภอขุนยวม,จ.แม่ฮ่องสอน,อ.ขุนยวม, ต.ขุนยวม
สำนักงานสาธารณสุขอำเภอปาย,จ.แม่ฮ่องสอน,อ.ปาย, ต.เวียงใต้
สำนักงานสาธารณสุขอำเภอแม่ลาน้อย,จ.แม่ฮ่องสอน,อ.แม่ลาน้อย, ต.แม่ลาน้อย
สำนักงานสาธารณสุขอำเภอแม่สะเรียง,จ.แม่ฮ่องสอน,อ.แม่สะเรียง, ต.บ้านกาศ
สำนักงานสาธารณสุขอำเภอสบเมย,จ.แม่ฮ่องสอน,อ.สบเมย, ต.สบเมย
สำนักงานสาธารณสุขอำเภอปางมะผ้า,จ.แม่ฮ่องสอน,อ.ปางมะผ้า, ต.สบป่อง
สถานบริการสาธารณสุขชุมชนบ้านบุญเลอ,จ.แม่ฮ่องสอน,อ.สบเมย, ต.แม่สามแลบ
สถานบริการสาธารณสุขชุมชนบ้านแม่แลน,จ.แม่ฮ่องสอน,อ.แม่ลาน้อย, ต.แม่ลาน้อย
สถานบริการสาธารณสุขชุมชนบ้านห้วยต้นนุ่น,จ.แม่ฮ่องสอน,อ.ขุนยวม, ต.แม่เงา
สถานบริการสาธารณสุขชุมชนแม่อุมลองน้อย,จ.แม่ฮ่องสอน,อ.แม่สะเรียง, ต.ป่าแป๋
สำนักงานสาธารณสุขชุมชนบ้านผีลู,จ.แม่ฮ่องสอน,อ.ปาย, ต.แม่นาเติง
สถานบริการสาธารณสุขชุมชนบ้านแม่ตอละ,จ.แม่ฮ่องสอน,อ.สบเมย, ต.แม่สามแลบ
สถานบริการสาธารณสุขชุมชนบ้านแม่หลุยหลวง,จ.แม่ฮ่องสอน,อ.สบเมย, ต.แม่สวด
สถานบริการสาธารณสุขชุมชนบ้านห้วยกุ้ง,จ.แม่ฮ่องสอน,อ.สบเมย, ต.ป่าโปง
สถานบริการสาธารณสุขชุมชนบ้านแม่สปิ้ง,จ.แม่ฮ่องสอน,อ.แม่ลาน้อย, ต.แม่ลาน้อย
สถานบริการสาธารณสุขชุมชนบ้านห้วยเดื่อ,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน, ต.ผาบ่อง
สถานบริการสาธารณสุขชุมชนบ้านห้วยเดื่อเหนือ,จ.แม่ฮ่องสอน,อ.แม่สะเรียง, ต.ป่าแป๋
สำนักงานสาธารณสุขชุมชนบ้านแม่ปุ้น,จ.แม่ฮ่องสอน,อ.แม่สะเรียง, ต.ป่าแป๋
สถานบริการสาธารณสุขชุมชนบ้านห้วยกองเป๊าะ,จ.แม่ฮ่องสอน,อ.แม่ลาน้อย, ต.แม่ลาหลวง
สถานบริการสาธารณสุขชุมชนบ้านดอนช้าง,จ.แม่ฮ่องสอน,อ.ปาย, ต.แม่ฮี้
สถานบริการสาธารณสุขชุมชนบ้านห้วยหมี,จ.แม่ฮ่องสอน,อ.ปาย, ต.โป่งสา
สถานบริการสาธารณสุขชุมชนบ้านแม่เหมือนหลวง,จ.แม่ฮ่องสอน,อ.ปาย, ต.โป่งสา
สถานบริการสาธารณสุขชุมชนบ้านขุนสาใน,จ.แม่ฮ่องสอน,อ.ปาย, ต.โป่งสา
สถานบริการสาธารณสุขชุมชนบ้านห้วยกองแป,จ.แม่ฮ่องสอน,อ.แม่สะเรียง, ต.แม่คง
สถานบริการสาธารณชุมชนสุขบ้านจอสิเดอ,จ.แม่ฮ่องสอน,อ.แม่สะเรียง, ต.แม่คง
สำนักงานสาธารณสุขชุมชนบ้านท่าตาฝั่ง,จ.แม่ฮ่องสอน,อ.แม่สะเรียง, ต.แม่ยวม
สำนักงานสาธารณสุขชุมชนแม่กองคา,จ.แม่ฮ่องสอน,อ.แม่สะเรียง, ต.แม่ยวม
สถานบริการสาธรณสุขชุมชนบ้านแม่ละมอง,จ.แม่ฮ่องสอน,อ.แม่ลาน้อย, ต.แม่ลาน้อย
สถานบริการสาธารณสุขชุมชนบ้ายนดง,จ.แม่ฮ่องสอน,อ.แม่ลาน้อย, ต.ห้วยห้อม
โรงพยาบาลศรีสังวาลย์,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน, ต.จองคำ
โรงพยาบาลแม่สะเรียง,จ.แม่ฮ่องสอน,อ.แม่สะเรียง, ต.แม่สะเรียง
โรงพยาบาลสบเมย,จ.แม่ฮ่องสอน,อ.สบเมย, ต.แม่สวด
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยโป่ง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน, ต.ห้วยโป่ง
โรงพยาบาลส่งเสริมสุขภาพตำบลป่าลาน,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน, ต.ห้วยโป่ง
โรงพยาบาลส่งเสริมสุขภาพตำบลเมืองแปง,จ.แม่ฮ่องสอน,อ.ปาย, ต.เมืองแปง
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยหมี,จ.แม่ฮ่องสอน,อ.ปาย, ต.เมืองแปง
โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแม่ฮุ  ตำบลแม่ลาน้อย,จ.แม่ฮ่องสอน,อ.แม่ลาน้อย, ต.แม่ลาน้อย
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยผา,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน, ต.ห้วยผา
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยม่วง,จ.แม่ฮ่องสอน,อ.สบเมย, ต.แม่สวด
โรงพยาบาลส่งเสริมสุขภาพตำบลในสอย,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน, ต.ปางหมู
